id,text,label
112,Это было очень полезное обсуждение.,0
371,Спасибо за прекрасный день!,0
116,"Отличная работа, так держать!",0
368,Это было очень полезное обсуждение.,0
107,Бригада радость мудила прощение рабочий наступать торговля.,1
288,СУКА пoхyй Пидор,1
119,"Погода сегодня замечательная, пойду на прогулку.",0
391,ж.о.п.а Результат упор совещание реклама светило.,1
39,Дорогой бабочка заявление потрясти засунуть пробовать пламя.,0
27,Желание ставить актриса понятный. ссанина,1
283,Это совершенно нормальный текст без всяких нарушений.,0
203,"Привет, как твои дела?",0
338,б.л.я.д.ь Гондон ЗАЕБАЛ!,1
118,Это было очень полезное обсуждение.,0
132,"Отличная работа, так держать!",0
455,"Мне нравится эта книга, она очень интересная.",0
281,мyдaк ебан п.и.з.д,1
104,с.у.ч.а.р.а,1
158,Разнообразный коллектив вскакивать дорогой. Отметить протягивать выкинуть порог призыв развитый жить.,0
208,"Мне нравится эта книга, она очень интересная.",0
480,Угодный основание мимо пастух. eбaн,1
279,доллллбоеб Совет задержать белье угодный дальний четыре.,1
67,Коричневый ботинок необычный господь вскакивать эффект.,0
438,Порода дурацкий факультет выбирать протягивать выраженный.,0
123,Как прошел твой день?,0
431,Посидеть вздрагивать лететь заведение.,0
357,Мне нужно перенести встречу на завтра.,0
300,Я согласен с твоим предложением.,0
46,Крутой магазин жо.па жестокий проход уронить крутой налоговый.,1
388,Выбирать вздрогнуть возбуждение изредка м.р.а.з.ь встать плясать подробность.,1
485,Я согласен с твоим предложением.,0
163,Желаю тебе удачи в твоих начинаниях.,0
440,блля,1
81,Деловой славный растеряться пятеро намерение.,0
380,Это совершенно нормальный текст без всяких нарушений.,0
333,Мелочь упор отражение зачем совет расстегнуть премьера темнеть.,0
317,хуев го.ндон...,1
269,похххуй,1
24,Я согласен с твоим предложением.,0
217,Это совершенно нормальный текст без всяких нарушений.,0
179,Блядь,1
43,Желаю тебе удачи в твоих начинаниях.,0
204,Исполнять разнообразный задержать. Мучительно неправда руководитель четыре висеть вариант при.,0
324,"Отличная работа, так держать!",0
237,Нервно очередной девка витрина тысяча нож. Рассуждение степь задрать.,0
37,ж.о.п.а,1
